field_1,field_2,field_3
Tonegawa,139.880869201990663,35.766054740589148
Nakagawa,139.822752128026224,35.742340923223132
Arakawa,139.850412279427673,35.659915960854420
Sumidagawa,139.813523545299489,35.736287003626572
Tamagawa,139.710285701945537,35.536064188781886
Tsurumigawa,139.682760991698615,35.514405108957575
